vue_serie_6_mois,temps,periode,moment,attente,Binge_watching,refaire_binge_watching,pratiquer_binge_watching,type_serie,choix_serie,Recommandations_d'un_ami,Avis_d’autres_utilisateurs_sur_des_sites_web,Buzz,Acteurs,Pub,Realisateur/Production,Recommandations_plateformes,plateforme_serie,compagnie_serie,duree_ideal_serie,serie_avant,avis_netflix,prix_plateforme,age,sexe,categorie,nationalite,choix_fun,origine_serie,choix_ile,langue_serie
Oui,Entre 1h et 3h,"En semaine,Le weekend","En soiree,La nuit",Regarder une serie en cours de diffusion,Non,,Oui,"Action - Aventure,Policier","House of Cards,Le Bureau des Legendes,Prison Break,Lost,Serie de Fourier",2,1,1,1,-1,0,2,"Des plateformes de visionnage payantes",Seul,Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,26,homme,Ancien eleve,Francais,L'ours,"Americaine,British",Amelie,VO
Oui,Moins d'1h,Le weekend,En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Non,,Non,"Action - Aventure,Comedie,Policier","Game of Thrones,Friends,Les Simpsons,House of Cards,Prison Break",2,1,1,-2,-2,-2,1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,chaines gratuites","Seul,En couple,Entre amis",Entre 20min et 30min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Entre de 5E et 10E,23,homme,3A,Tunisien,Le requin,"Americaine,Francaise",Ahmed,"VO,VOSTEN"
Oui,Entre 6h et 10h,"En semaine,Le weekend","La journee,En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Comedie,Dramatique,Horreur - Epouvante,Policier,SF - Fantastique,Sitcom","Game of Thrones,Friends,Les Simpsons,House of Cards,Stranger Things",2,1,0,-2,-2,-2,-2,"En telechargement ou streaming illegal","Seul,En couple",Entre 20min et 30min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve,Je prefere acceder au contenu illegalement et gratuitement",Entre de 5E et 10E,22,homme,3A,Francais,L'ours,"Americaine,British",Edouard,"VO,VOSTEN"
Oui,Entre 3h et 6h,"En semaine,Le weekend",La nuit,Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Oui,,"Comedie,Dramatique","Friends,Les Simpsons,House of Cards,Le Bureau des Legendes,The Sopranos",2,0,-2,0,0,0,-1,"En telechargement ou streaming illegal,chaines gratuites",Seul,Entre 40min et 1h,,Je prefere acceder au contenu illegalement et gratuitement,Je ne souhaite pas payer pour ce genre de service,22,homme,2A,Francais,L'ours,"Americaine,Francaise",Amelie,"VO,VOSTFR"
Oui,Moins d'1h,Le weekend,En soiree,Je n'ai pas de preference,Oui,Non,,"Action - Aventure,SF - Fantastique","Game of Thrones,Friends,House of Cards,Stranger Things,Dragon Ball",1,-2,-1,2,-2,1,-2,"En telechargement ou streaming illegal","Seul,Entre amis",Entre 40min et 1h,,"Pas adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,22,homme,2A,Francais,L'ours,"Americaine,British",Ahmed,"VOSTFR,VOSTEN"
Oui,Entre 6h et 10h,"En semaine,Le weekend","En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Comedie,Policier,SF - Fantastique","Game of Thrones,Friends,Les Simpsons,Plus belle la vie,Rich and Morty",2,-2,2,-2,-2,0,1,"En telechargement ou streaming illegal,chaines gratuites,chaines payantes","Seul,En couple,Entre amis",Entre 30min et 40min,,"Pas adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Je ne souhaite pas payer pour ce genre de service,23,homme,Ancien eleve,Francais,L'ours,"Americaine,British,Francaise",Edouard,"VO,VOSTFR,VOSTEN"
Oui,Moins d'1h,"En semaine,Le weekend","En soiree,La nuit",Je n'ai pas de preference,Non,,Non,"Action - Aventure,Anime - Manga,Policier,SF - Fantastique","Game of Thrones,Les Simpsons,Rich and Morty,Stranger Things,Dragon Ball",1,0,0,-2,-2,-2,-2,"En telechargement ou streaming illegal",Seul,Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Je prefere acceder au contenu illegalement et gratuitement",Je ne souhaite pas payer pour ce genre de service,21,homme,2A,Francais,L'ours,Americaine,Amelie,"VO,VOSTFR,VOSTEN"
Oui,Entre 6h et 10h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Comedie,Romantique,SF - Fantastique,Sitcom","Game of Thrones,Grey's Anatomy,Vikings,Downtown Abbey,Stranger Things",2,-1,1,-1,-1,-1,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,chaines gratuites","Seul,En couple,Entre amis",Entre 40min et 1h,,Adaptees a mes besoins,Entre de 5E et 10E,21,femme,3A,Francais,Le requin,"Americaine,British,Francaise",,VOSTFR
Oui,Moins d'1h,"En semaine,Le weekend","En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Dramatique,Policier,SF - Fantastique","Game of Thrones,Les Simpsons,House of Cards,Vikings,The Wire",1,0,0,-1,1,1,1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,Entre amis",Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Pas adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,22,homme,3A,Francais,Le requin,"Americaine,British,Francaise",Antoine,"VO,VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,"En semaine,Le weekend","En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Anime - Manga,Comedie,Policier,SF - Fantastique","Game of Thrones,Friends,Les Simpsons,Stranger Things,Dragon Ball",2,0,0,1,-1,1,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,Entre amis",Entre 30min et 40min,,Adaptees a mes besoins,Entre 10E et 20E,22,homme,3A,Francais,Le requin,Americaine,Ferdinand,"VOSTFR,VOSTEN"
Oui,Moins d'1h,En semaine,En soiree,Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Anime - Manga","Game of Thrones,Vikings,Rich and Morty,Dragon Ball,Lost",1,0,1,-2,-2,0,-2,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,Sur support physique","Seul,Entre amis",Entre 30min et 40min,,Le prix est trop eleve,Entre de 5E et 10E,22,homme,2A,Francais,L'ours,"Americaine,British",,"VO,VOSTFR"
Oui,Plus de 10h #jen'aipasdevie,"En semaine,Le weekend","La journee,En soiree",Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Anime - Manga,SF - Fantastique","Game of Thrones,House of Cards,Rich and Morty,Dragon Ball,Serie de Fourier",2,-1,0,-1,-1,-1,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,Entre amis",Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Je prefere acceder au contenu illegalement et gratuitement",Entre de 5E et 10E,21,homme,2A,Francais,L'ours,"Americaine,British,Japonais",,"VO,VOSTEN"
Oui,Entre 3h et 6h,"En semaine,Le weekend","La journee,En soiree,La nuit",Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Non,,"Action - Aventure,Anime - Manga,SF - Fantastique","Game of Thrones,Les Simpsons,Vikings,Dragon Ball,Prison Break",2,2,2,1,1,1,1,"En telechargement ou streaming illegal,chaines gratuites","Seul,En couple,Entre amis,En famille",Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve,Adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,21,homme,2A,Francais,L'ours,Americaine,Ferdinand,"VO,VOSTFR"
Oui,Entre 1h et 3h,"En semaine,Le weekend","En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Horreur - Epouvante,Policier,SF - Fantastique","Game of Thrones,House of Cards,Vikings,Stranger Things,Prison Break",2,-2,0,1,-2,-2,-2,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,chaines gratuites,chaines payantes,Sur support physique",Seul,Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve,Adaptees a mes besoins",Entre de 5E et 10E,23,homme,3A,Francais,L'ours,"Americaine,Francaise",,VOSTFR
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Oui,,"Action - Aventure,Dramatique,SF - Fantastique","Game of Thrones,House of Cards,Le Bureau des Legendes,Downtown Abbey,The Sopranos",2,1,0,0,-2,-2,-2,"En telechargement ou streaming illegal,Sur support physique",En famille,Entre 30min et 40min,,Proposent une large gamme de films et des series en illimite et sans publicite,Entre de 5E et 10E,57,femme,Personnel de l'ecole,Francais,Le requin,"Americaine,British,Francaise",Edouard,"VOSTFR,VF"
Oui,Entre 1h et 3h,"En semaine,Le weekend","En soiree,La nuit",Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Dramatique,Policier,SF - Fantastique","Game of Thrones,Grey's Anatomy,House of Cards,Stranger Things,Serie de Fourier",1,-2,1,-1,1,1,1,"En telechargement ou streaming illegal,chaines gratuites","Seul,Entre amis,En famille",Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Pas adaptees a mes besoins",Moins de 5E,21,homme,2A,Francais,Le requin,"Americaine,British,Francaise",Antoine,"VO,VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Non,,Non,"Action - Aventure,Policier,SF - Fantastique","Game of Thrones,Vikings,The Wire,Downtown Abbey,Rich and Morty",2,-2,0,-2,-2,-2,-2,"En telechargement ou streaming illegal,Sur support physique","Seul,En couple,Entre amis",Entre 40min et 1h,,Pas adaptees a mes besoins,Entre de 5E et 10E,21,homme,2A,Francais,L'ours,"Americaine,British",Anis,VOSTFR
Oui,Entre 6h et 10h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Non,,Oui,"Action - Aventure,Dramatique,Horreur - Epouvante,SF - Fantastique","Game of Thrones,House of Cards,Le Bureau des Legendes,Stranger Things,Twin Peaks",-2,1,0,0,0,0,2,"Des plateformes de visionnage payantes","Seul,En couple",Entre 40min et 1h,,Proposent une large gamme de films et des series en illimite et sans publicite,Entre de 5E et 10E,24,femme,Doctorant,Francais,L'ours,"Americaine,British",Antoine,"VO,VOSTFR"
Oui,Moins d'1h,Le weekend,"La journee,En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Comedie,Policier","Friends,Grey's Anatomy,Les Simpsons,Stranger Things,Prison Break",1,2,1,0,-1,-1,1,"En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,20,homme,1A,Francais,L'ours,"Americaine,Francaise",Amelie,"VOSTFR,VF"
Oui,Entre 6h et 10h,"En semaine,Le weekend","La journee,En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Comedie,Dramatique,SF - Fantastique,Sitcom","Game of Thrones,Friends,House of Cards,Rich and Morty,Lost",2,0,-1,0,-2,-1,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,"Le prix est trop eleve,Pas adaptees a mes besoins",Moins de 5E,20,homme,2A,Francais,L'ours,"Americaine,British,Francaise",Anis,"VO,VOSTFR"
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Non,,Oui,Action - Aventure,"Game of Thrones,Les Simpsons,Vikings,Stranger Things,Prison Break",2,1,2,0,1,0,1,"Des plateformes de visionnage payantes","Seul,En couple,Entre amis",Entre 30min et 40min,,Adaptees a mes besoins,Entre de 5E et 10E,21,homme,2A,Francais,L'ours,"Americaine,Francaise",Anis,VOSTEN
